TimeStamp,L,zL,C_CO2,ustar,Tsonic,q,sd_C_CO2,F_CO2,Q_E,Q_H
timestamp,m,dimensionless,mmol.m-3,m.s-1,Celsius,kg.kg-1,mmol.m-3,umol.m-2.s-1,W.m-2,W.m-2
2018-10-07 00:30:00,,,,,,,,,,
2018-10-07 01:00:00,,,,,,,,,,
2018-10-07 01:30:00,,,,,,,,,,
2018-10-07 02:00:00,,,,,,,,,,
2018-10-07 02:30:00,,,,,,,,,,
2018-10-07 03:00:00,,,,,,,,,,
2018-10-07 03:30:00,,,,,,,,,,
2018-10-07 04:00:00,,,,,,,,,,
2018-10-07 04:30:00,,,,,,,,,,
2018-10-07 05:00:00,,,,,,,,,,
2018-10-07 05:30:00,,,,,,,,,,
2018-10-07 06:00:00,,,,,,,,,,
2018-10-07 06:30:00,,,,,,,,,,
2018-10-07 07:00:00,,,,,,,,,,
2018-10-07 07:30:00,607.068,0.00478,0.000581,0.1729,286.0,0.00501,2.89e-06,-3.2587,19.1657,-1.1
2018-10-07 08:00:00,-207.565,-0.01397,0.000571,0.2274,286.0,0.00515,4.26e-06,3.0153,3.5763,7.4
2018-10-07 08:30:00,-49.837,-0.05819,0.000564,0.153,286.0,0.00531,2.29e-06,-2.1629,16.1168,9.53
2018-10-07 09:00:00,-16.651,-0.17416,0.000556,0.2003,286.0,0.00552,3.17e-06,-6.465,58.3831,65.37
2018-10-07 09:30:00,-88.421,-0.0328,0.000552,0.2453,287.0,0.00554,2.62e-06,-2.6111,35.9939,22.66
2018-10-07 10:00:00,-123.019,-0.02357,0.000549,0.3159,287.0,0.0056,2.71e-06,-10.1631,78.1974,35.0
2018-10-07 10:30:00,-7.164,-0.40482,0.000547,0.1492,287.0,0.00567,2.98e-06,-10.0721,107.5377,63.85
2018-10-07 11:00:00,-86.648,-0.03347,0.000549,0.4049,288.0,0.00526,2.83e-06,-8.2292,97.284,101.54
2018-10-07 11:30:00,-50.479,-0.05745,0.000547,0.2822,288.0,,2.75e-06,-9.4302,,59.72
2018-10-07 12:00:00,-9.896,-0.29304,0.000545,0.1647,288.0,0.0053,2.69e-06,-9.0121,86.4048,60.19
2018-10-07 12:30:00,-1.462,-1.98363,0.000547,0.1059,288.0,0.00529,2.44e-06,-5.4026,96.6528,108.2
2018-10-07 13:00:00,-23.481,-0.1235,0.000545,0.2588,288.0,0.00529,3.43e-06,-9.911,147.7194,98.41
2018-10-07 13:30:00,-42.762,-0.06782,0.000547,0.247,289.0,0.00527,2.4e-06,-8.03,86.8724,46.81
2018-10-07 14:00:00,-5.24,-0.55346,0.000547,0.1296,289.0,0.00513,2.69e-06,-8.5174,87.3386,54.52
2018-10-07 14:30:00,-18.121,-0.16004,0.00055,0.1641,289.0,0.00486,2.44e-06,-3.9706,60.5044,31.22
2018-10-07 15:00:00,-56.75,-0.0511,0.00055,0.188,289.0,0.00477,2.23e-06,-5.4446,47.9808,14.87
2018-10-07 15:30:00,,,,,,,,,,
2018-10-07 16:00:00,,,,,,,,,,
2018-10-07 16:30:00,57.33,0.05058,0.000552,0.111,290.0,0.00495,1.29e-06,-0.3397,2.4255,-3.07
2018-10-07 17:00:00,19.538,0.14843,0.000556,0.117,290.0,0.00488,2.2e-06,-1.3922,-3.6589,-10.47
2018-10-07 17:30:00,1.934,1.49974,0.000564,0.0345,290.0,0.00504,3.11e-06,1.2281,3.5403,-2.75
2018-10-07 18:00:00,6.483,0.44732,0.00058,0.0429,289.0,0.00516,7.2e-06,1.1426,0.2506,-1.59
2018-10-07 18:30:00,4.432,0.6543,0.000588,0.0449,289.0,0.00526,4.72e-06,-0.0749,0.1368,-2.69
2018-10-07 19:00:00,0.862,3.36464,0.000592,0.038,289.0,0.00538,5.22e-06,-0.4425,-0.1788,-8.48
2018-10-07 19:30:00,21.849,0.13273,0.000603,0.0719,289.0,0.00551,7.55e-06,1.5603,1.1333,-2.29
2018-10-07 20:00:00,3.395,0.85426,0.000598,0.052,289.0,0.00524,6.07e-06,2.1183,3.9753,-5.43
2018-10-07 20:30:00,3.521,0.82357,0.000588,0.0776,289.0,0.00502,3.79e-06,1.076,4.3189,-17.13
2018-10-07 21:00:00,4.155,0.69799,0.000589,0.0748,289.0,0.00494,2.97e-06,0.1848,0.2136,-12.9
2018-10-07 21:30:00,5.679,0.51065,0.000589,0.0724,288.0,0.00496,4.2e-06,1.963,3.4772,-8.57
2018-10-07 22:00:00,1.937,1.49746,0.000588,0.0381,288.0,0.00489,2.9e-06,1.1178,3.9708,-3.65
2018-10-07 22:30:00,3.373,0.85979,0.000592,0.0772,288.0,0.00487,3.85e-06,-0.2669,1.2173,-17.4
2018-10-07 23:00:00,6.737,0.43047,0.000591,0.0815,288.0,0.00482,4.64e-06,1.774,1.5494,-10.19
2018-10-07 23:30:00,21.226,0.13663,0.000594,0.1567,288.0,0.00479,3.16e-06,-0.7626,1.0537,-22.92
2018-10-08 00:00:00,17.465,0.16605,0.00059,0.128,288.0,0.00483,4.45e-06,-0.0708,0.0106,-15.24
